Ranking,Team,Acronym,Score,Flag
99,El Salvador,SLV,1226.65,🇸🇻
100,Tajikistan,TJK,1224.93,🇹🇯
101,Mozambique,MOZ,1224.31,🇲🇿
102,Luxembourg,LUX,1218.91,🇱🇺
103,Kyrgyz Republic,KGZ,1201.22,🇰🇬
104,Madagascar,MAD,1198.87,🇲🇬
105,Armenia,ARM,1196.08,🇦🇲
106,Comoros,COM,1193.49,🇰🇲
107,Equatorial Guinea,EQG,1190.01,🇬🇶
108,Vietnam,VIE,1189.51,🇻🇳
109,Lebanon,LBN,1187.96,🇱🇧
110,Tanzania,TAN,1186.14,🇹🇿
111,Niger,NIG,1185.09,🇳🇪
112,Libya,LBY,1183.06,🇱🇾
113,Kenya,KEN,1179.54,🇰🇪
114,Kazakhstan,KAZ,1173.00,🇰🇿
115,Mauritania,MTN,1171.35,🇲🇷
116,The Gambia,GAM,1161.55,🇬🇲
117,Sudan,SDN,1157.22,🇸🇩
118,Namibia,NAM,1153.22,🇳🇦
119,Korea DPR,PRK,1151.05,🇰🇵
120,Sierra Leone,SLE,1149.10,🇸🇱
121,Malaysia,MAS,1145.89,🇲🇾
122,Indonesia,IDN,1144.73,🇮🇩
123,Suriname,SUR,1140.54,🇸🇷
124,Togo,TOG,1140.35,🇹🇬
125,Faroe Islands,FRO,1135.42,🇫🇴
126,Malawi,MWI,1133.75,🇲🇼
127,Azerbaijan,AZE,1132.97,🇦🇿
128,Cyprus,CYP,1128.50,🇨🇾
129,Estonia,EST,1123.11,🇪🇪
130,Rwanda,RWA,1117.78,🇷🇼
131,Nicaragua,NCA,1116.86,🇳🇮
132,Zimbabwe,ZIM,1113.61,🇿🇼
133,Guinea-Bissau,GNB,1108.09,🇬🇼
134,Congo,CGO,1105.96,🇨🇬
135,Kuwait,KUW,1105.10,🇰🇼
136,Philippines,PHI,1090.95,🇵🇭
137,Turkmenistan,TKM,1087.52,🇹🇲
138,Central African Republic,CTA,1083.57,🇨🇫
139,Latvia,LVA,1082.68,🇱🇻
140,Liberia,LBR,1081.46,🇱🇷
141,India,IND,1079.52,🇮🇳
142,Dominican Republic,DOM,1077.49,🇩🇴
143,Lesotho,LES,1065.97,🇱🇸
144,Botswana,BOT,1062.42,🇧🇼
145,Burundi,BDI,1060.22,🇧🇮
146,Lithuania,LTU,1056.34,🇱🇹
147,Ethiopia,ETH,1055.36,🇪🇹
148,Singapore,SGP,1050.35,🇸🇬
149,Yemen,YEM,1049.49,🇾🇪
150,New Caledonia,NCL,1042.62,🇳🇨
151,Guyana,GUY,1041.90,🇬🇾
152,Solomon Islands,SOL,1039.86,🇸🇧
153,"Hong Kong, China",HKG,1038.14,🇭🇰
154,St Kitts and Nevis,SKN,1035.25,🇰🇳
155,Fiji,FIJ,1029.70,🇫🇯
156,Puerto Rico,PUR,1020.07,🇵🇷
157,Tahiti,TAH,1019.04,🇵🇫
158,Moldova,MDA,1012.64,🇲🇩
159,Eswatini,SWZ,1010.52,🇸🇿
160,Vanuatu,VAN,997.01,🇻🇺
161,Malta,MLT,996.59,🇲🇹
162,Afghanistan,AFG,991.19,🇦🇫
163,Myanmar,MYA,990.81,🇲🇲
164,Grenada,GRN,989.59,🇬🇩
165,Antigua and Barbuda,ATG,986.58,🇦🇬
166,Cuba,CUB,980.49,🇨🇺
167,St Lucia,LCA,980.28,🇱🇨
168,South Sudan,SSD,977.50,🇸🇸
169,Bermuda,BER,976.87,🇧🇲
170,Papua New Guinea,PNG,974.90,🇵🇬
171,St Vincent and the Grenadines,VIN,963.74,🇻🇨
172,Andorra,AND,949.44,🇦🇩
173,Maldives,MDV,945.02,🇲🇻
174,Chinese Taipei,TPE,938.21,🇹🇼
175,Montserrat,MSR,916.75,🇲🇸
176,Mauritius,MRI,915.51,🇲🇺
177,Chad,CHA,914.65,🇹🇩
178,Barbados,BRB,914.42,🇧🇧
179,Cambodia,CAM,911.54,🇰🇭
180,Bangladesh,BAN,911.10,🇧🇩
181,Belize,BLZ,910.74,🇧🇿
182,Nepal,NEP,902.52,🇳🇵
183,Dominica,DMA,901.37,🇩🇲
184,American Samoa,ASA,883.17,🇦🇸
185,Mongolia,MNG,879.75,🇲🇳
186,Cook Islands,COK,877.53,🇨🇰
187,Samoa,SAM,876.41,🇼🇸
188,Brunei Darussalam,BRU,875.78,🇧🇳
189,São Tomé and Príncipe,STP,871.63,🇸🇹
190,Laos,LAO,871.16,🇱🇦
191,Aruba,ARU,867.94,🇦🇼
192,Bhutan,BHU,867.86,🇧🇹
193,Macau,MAC,865.29,🇲🇴
194,Sri Lanka,SRI,857.40,🇱🇰
195,Cayman Islands,CAY,851.74,🇰🇾
196,Djibouti,DJI,847.03,🇩🇯
197,Tonga,TGA,835.64,🇹🇴
198,Timor-Leste,TLS,835.55,🇹🇱
199,Pakistan,PAK,833.16,🇵🇰
200,Somalia,SOM,828.90,🇸🇴
201,Guam,GUM,823.08,🇬🇺
202,Gibraltar,GIB,818.03,🇬🇮
203,Seychelles,SEY,805.33,🇸🇨
204,Turks and Caicos Islands,TCA,803.98,🇹🇨
205,Liechtenstein,LIE,799.80,🇱🇮
206,Bahamas,BAH,796.60,🇧🇸
207,US Virgin Islands,VIR,776.60,🇻🇮
208,British Virgin Islands,VGB,776.54,🇻🇬
209,Anguilla,AIA,759.78,🇦🇮
210,San Marino,SMR,726.03,🇸🇲
211,Eritrea,ERI,0.00,🇪🇷
